"discente","ALGORITMOS E LÓGICA DE PROGRAMAÇÃO","ARQUITETURA DE COMPUTADORES","BANCO DE DADOS","CÁLCULO DIFERENCIAL E INTEGRAL","EMPREENDEDORISMO EM INFORMÁTICA","ENGENHARIA DE SOFTWARE I","ENGENHARIA DE SOFTWARE II","ESTRUTURA DE DADOS","FUNDAMENTOS DE MATEMÁTICA","FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO","GESTÃO DE PROJETO DE SOFTWARE","INTRODUÇÃO À INFORMÁTICA","LÓGICA","MATEMÁTICA FINANCEIRA","ORGANIZAÇÃO, SISTEMAS E MÉTODOS","PROBABILIDADE E ESTATÍSTICA","PROGRAMAÇÃO","PROGRAMAÇÃO ORIENTADA A OBJETOS I","PROGRAMAÇÃO ORIENTADA A OBJETOS II","PROGRAMAÇÃO VISUAL","PROGRAMAÇÃO WEB","PROJETO E ADMINISTRAÇÃO DE BANCO DE DADOS","REDES DE COMPUTADORES","SISTEMAS DE APOIO À DECISÃO","SISTEMAS OPERACIONAIS","TEORIA GERAL DA ADMINISTRAÇÃO","TEORIA GERAL DOS SISTEMAS","ÁLGEBRA LINEAR","ÉTICA","ano_ingresso","sexo","status","classificacao","ch_cumprida","ch_cumprida_dividida","ch_reprovacao","taxa_reprovacao","semestre","semestre_total","semestre_dividido","ultimo_periodo","matricula","tempo_relativo","unidade","nota","media_final","frequencia","descricao","ano","id_componente","nome","ch_total","ano_nascimento","semestres_cursados","ALGORITMOS E LÓGICA DE PROGRAMAÇÃO_APROVADO","ARQUITETURA DE COMPUTADORES_APROVADO","BANCO DE DADOS_APROVADO","CÁLCULO DIFERENCIAL E INTEGRAL_APROVADO","EMPREENDEDORISMO EM INFORMÁTICA_APROVADO","ENGENHARIA DE SOFTWARE I_APROVADO","ENGENHARIA DE SOFTWARE II_APROVADO","ESTRUTURA DE DADOS_APROVADO","FUNDAMENTOS DE MATEMÁTICA_APROVADO","FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO_APROVADO","GESTÃO DE PROJETO DE SOFTWARE_APROVADO","INTRODUÇÃO À INFORMÁTICA_APROVADO","LÓGICA_APROVADO","MATEMÁTICA FINANCEIRA_APROVADO","ORGANIZAÇÃO, SISTEMAS E MÉTODOS_APROVADO","PROBABILIDADE E ESTATÍSTICA_APROVADO","PROGRAMAÇÃO_APROVADO","PROGRAMAÇÃO ORIENTADA A OBJETOS I_APROVADO","PROGRAMAÇÃO ORIENTADA A OBJETOS II_APROVADO","PROGRAMAÇÃO VISUAL_APROVADO","PROGRAMAÇÃO WEB_APROVADO","PROJETO E ADMINISTRAÇÃO DE BANCO DE DADOS_APROVADO","REDES DE COMPUTADORES_APROVADO","SISTEMAS DE APOIO À DECISÃO_APROVADO","SISTEMAS OPERACIONAIS_APROVADO","TEORIA GERAL DA ADMINISTRAÇÃO_APROVADO","TEORIA GERAL DOS SISTEMAS_APROVADO","ÁLGEBRA LINEAR_APROVADO","ÉTICA_APROVADO","ALGORITMOS E LÓGICA DE PROGRAMAÇÃO_REPROVADO","ARQUITETURA DE COMPUTADORES_REPROVADO","BANCO DE DADOS_REPROVADO","CÁLCULO DIFERENCIAL E INTEGRAL_REPROVADO","EMPREENDEDORISMO EM INFORMÁTICA_REPROVADO","ENGENHARIA DE SOFTWARE I_REPROVADO","ENGENHARIA DE SOFTWARE II_REPROVADO","ESTRUTURA DE DADOS_REPROVADO","FUNDAMENTOS DE MATEMÁTICA_REPROVADO","FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO_REPROVADO","GESTÃO DE PROJETO DE SOFTWARE_REPROVADO","INTRODUÇÃO À INFORMÁTICA_REPROVADO","LÓGICA_REPROVADO","MATEMÁTICA FINANCEIRA_REPROVADO","ORGANIZAÇÃO, SISTEMAS E MÉTODOS_REPROVADO","PROBABILIDADE E ESTATÍSTICA_REPROVADO","PROGRAMAÇÃO_REPROVADO","PROGRAMAÇÃO ORIENTADA A OBJETOS I_REPROVADO","PROGRAMAÇÃO ORIENTADA A OBJETOS II_REPROVADO","PROGRAMAÇÃO VISUAL_REPROVADO","PROGRAMAÇÃO WEB_REPROVADO","PROJETO E ADMINISTRAÇÃO DE BANCO DE DADOS_REPROVADO","REDES DE COMPUTADORES_REPROVADO","SISTEMAS DE APOIO À DECISÃO_REPROVADO","SISTEMAS OPERACIONAIS_REPROVADO","TEORIA GERAL DA ADMINISTRAÇÃO_REPROVADO","TEORIA GERAL DOS SISTEMAS_REPROVADO","ÁLGEBRA LINEAR_REPROVADO","ÉTICA_REPROVADO"
"001cea3c82e2010681f2cdeab21e5ecf",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018,0,-1.0,-4.0,330.0,0.18032786885245902,"","",1.0,1.0,0.125,"20181",5.0,-0.125,1.0,-7.0,-7.0,-7.0,"DESISTENCIA","20181",62487.0,"INTRODUÇÃO À INFORMÁTICA",60.0,1986.0,"1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"005c14d7c07bf7980b60c703f99c5ee7",1.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2018,0,-1.0,-2.0,2160.0,1.180327868852459,960.0,0.4444444444444444,1.0,9.0,1.125,"20221",33.0,-1.125,1.0,-1.0,-1.0,22.0,"REPROVADO POR MÉDIA E POR FALTAS","20181",62487.0,"INTRODUÇÃO À INFORMÁTICA",60.0,1998.0,"1, 2",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
"0107fd69d8cd7e3d30dede96fb68bfe5",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2011,0,-1.0,-1.0,870.0,0.47540983606557374,270.0,0.3103448275862069,1.0,3.0,0.375,"20121",13.0,-0.375,1.0,6.4,4.2,0.0,"REPROVADO","20111",2037000.0,"ALGORITMOS E LÓGICA DE PROGRAMAÇÃO",90.0,1992.0,"1, 2",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"014789363f7940922e71e710ee9d22bc",2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2016,0,1.0,-1.0,2310.0,1.2622950819672132,540.0,0.23376623376623376,1.0,10.0,1.25,"20204",36.0,1.25,1.0,7.8,5.0,15.0,"REPROVADO POR NOTA","20161",2037000.0,"ALGORITMOS E LÓGICA DE PROGRAMAÇÃO",90.0,1994.0,"1, 2",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"014f0dec46fe7a9c5836527662e1df10",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0,-1.0,-3.0,240.0,0.13114754098360656,"","",2.0,3.0,0.375,"20204",4.0,-0.375,1.0,-2.0,-2.0,-2.0,"CANCELADO","20202",62759.0,"BANCO DE DADOS",60.0,1981.0,"2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"0168075add041f9eb4bba46d6fdb6387",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018,0,-1.0,-2.0,330.0,0.18032786885245902,330.0,1.0,1.0,1.0,0.125,"20181",5.0,-0.125,1.0,-1.0,-1.0,36.0,"REPROVADO POR MÉDIA E POR FALTAS","20181",62487.0,"INTRODUÇÃO À INFORMÁTICA",60.0,2000.0,"1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"020d362ad9aecb1942935475f1dc5f10",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2012,0,-1.0,-2.0,390.0,0.21311475409836064,150.0,0.38461538461538464,1.0,2.0,0.25,"20122",6.0,-0.25,1.0,4.2,3.9,87.0,"REPROVADO POR MÉDIA E POR FALTAS","20121",2037000.0,"ALGORITMOS E LÓGICA DE PROGRAMAÇÃO",90.0,1982.0,"1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"026f9509c92f18fdea01c391a9d401a8",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2016,0,1.0,1.0,2220.0,1.2131147540983607,390.0,0.17567567567567569,1.0,12.0,1.5,"20211",35.0,1.5,1.0,8.0,6.8,30.0,"APROVADO POR NOTA","20161",2037000.0,"ALGORITMOS E LÓGICA DE PROGRAMAÇÃO",90.0,1995.0,"1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"029458a349548473ecd50f3ed942ddf7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2020,0,"","","","","","","","","","",9.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02dad20dec819bcc384cc6fa0b7ecbf9",0.0,3.0,0.0,1.0,1.0,1.0,2.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2009,0,-1.0,2.0,2250.0,1.2295081967213115,690.0,0.30666666666666664,1.0,11.0,1.375,"20141",34.0,-1.375,1.0,7.5,6.3,6.0,"APROVADO","20091",2037002.0,"LÓGICA",60.0,1989.0,"1",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
